"","date_dep","date_coll","rhodo_acer","stream","N_coarse","mean_k_coarse","sd_k_coarse","se_k_coarse","ci_k_coarse","N_fine","mean_k_fine","sd_k_fine","se_k_fine","ci_k_fine","N_shred","mean_k_shred","sd_k_shred","se_k_shred","ci_k_shred","N_shred_new","mean_k_shred_new","sd_k_shred_new","se_k_shred_new","ci_k_shred_new","deployment"
"1",2017-09-21,2017-11-15,"A","WS01",4,0.0427469425030827,0.0157121835627659,0.00785609178138293,0.0250015902636318,4,0.0141109617545036,0.00396188784627395,0.00198094392313698,0.00630424766916148,4,0.0286359807485791,0.0173821518527358,0.00869107592636789,0.0276588824708097,4,0.0173577976565389,0.0119190305523185,0.00595951527615925,0.0189658373718948,"1"
"2",2017-09-21,2017-11-15,"A","WS07",4,0.0145509714251921,0.00150411548893709,0.000752057744468544,0.00239338339024392,4,0.0132190541756133,0.00204673459408947,0.00102336729704474,0.00325681147342819,4,0.0013319172495788,0.00281946508049897,0.00140973254024949,0.0044863981141552,4,0.000713931404673949,0.00142491647957718,0.00071245823978859,0.00226736009288413,"1"
"3",2017-09-21,2017-11-15,"A","WS08",3,0.0151798268564368,0.00458005450472702,0.0026442957012073,0.0113774861170644,3,0.0137693961131353,0.000529961365958401,0.000305973337296185,0.00131649701494798,3,0.00141043074330156,0.00412466340575699,0.0023813755276304,0.0102462319145175,3,0.000773760018943369,0.00214356810555974,0.00123758962277121,0.00532491836872616,"1"
"4",2017-09-21,2017-11-15,"A","WS02",4,0.0176337868846794,0.00460527027104786,0.00230263513552393,0.00732801267946458,4,0.0135708165757892,0.00110694232933577,0.000553471164667883,0.00176139226307838,4,0.00406297030889019,0.00482158943632387,0.00241079471816194,0.00767222474361193,4,0.00219499742674355,0.00262579827022606,0.00131289913511303,0.00417823100175063,"1"
"5",2017-09-21,2017-11-15,"A","WS06",4,0.0151916660010666,0.00263960058779469,0.00131980029389734,0.00420019356902595,4,0.0137062790792633,0.00095936604486454,0.00047968302243227,0.0015265654624469,4,0.00148538692180325,0.00190412508073232,0.000952062540366158,0.0030298879139873,4,0.000768317085062384,0.000989552925578879,0.00049477646278944,0.00157459952594559,"1"
"6",2017-09-21,2017-11-15,"A","WS18",4,0.0176077887678835,0.00144351965755525,0.000721759828777623,0.00229696190039555,4,0.0115477731648408,0.000806063138784378,0.000403031569392189,0.00128262632892487,4,0.00606001560304264,0.0018082213220672,0.000904110661033602,0.002877283632774,4,0.00325516965879603,0.00103570367212077,0.000517851836060387,0.00164803566235476,"1"
"7",2017-09-21,2017-11-15,"A","WS27",4,0.0144855151298963,0.00112520848470162,0.00056260424235081,0.00179045779240628,4,0.011699562042999,0.000988341620942009,0.000494170810471004,0.0015726720699625,4,0.0027859530868973,0.000605571823680257,0.000302785911840129,0.000963599906427576,4,0.00144418737862609,0.000325013992101087,0.000162506996050543,0.000517169789163806,"1"
"8",2017-09-21,2017-11-15,"A","WS31",3,0.0105183167369084,0.00160437207834489,0.000926284651312741,0.00398548118349579,4,0.010825608420981,0.000928798480269538,0.000464399240134769,0.00147792564594346,3,-0.000594295019765433,0.00205050000570561,0.00118385673026746,0.00509372439211757,3,-0.000271749445649708,0.0010146716529019,0.000585820951941994,0.00252058411801765,"1"
"9",2017-09-21,2017-11-15,"A","WS32",4,0.00973621276803262,0.00217056592414085,0.00108528296207043,0.00345385475282839,4,0.00982991444106243,0.00131869310469462,0.000659346552347308,0.00209833499941924,4,-9.37016730297925e-05,0.0023750833961268,0.0011875416980634,0.0037792876893722,4,-8.89534821037776e-06,0.00113384450959175,0.000566922254795873,0.00180419963515823,"1"
"10",2017-09-21,2017-11-15,"A","WS36",4,0.015215245746912,0.00166248948347232,0.00083124474173616,0.00264539175712475,4,0.0121029902332366,0.000668141399022791,0.000334070699511396,0.00106316206336358,4,0.00311225551367535,0.00186819842850957,0.000934099214254785,0.00297272059317355,4,0.00162960784209978,0.00100448816064304,0.000502244080321518,0.00159836481776983,"1"
"11",2017-09-21,2017-11-15,"R","WS01",4,0.00553224005992759,0.000602864381331246,0.000301432190665623,0.000959291761477386,4,0.00428084326279336,0.000288839737024401,0.0001444198685122,0.000459608476956211,4,0.00125139679713422,0.000607848967047433,0.000303924483523716,0.00096722334967531,4,0.000656599956202979,0.000328021876689209,0.000164010938344605,0.000521956004760901,"1"
"12",2017-09-21,2017-11-15,"R","WS02",3,0.00445070038141112,0.00290068013227297,0.0016747084552008,0.00720568890630422,4,0.00315880358800907,0.000192030149155336,9.60150745776678e-05,0.000305562819341239,3,0.00129821655157038,0.00274167533929688,0.00158290699517361,0.00681069910372326,3,0.000757359113618633,0.00153480836232943,0.000886122021145387,0.00381267533317231,"1"
"13",2017-09-21,2017-11-15,"R","WS06",3,0.00451697602645382,0.00117109704171937,0.000676133192283852,0.00290916632545433,4,0.004755969183651,0.000230463709586345,0.000115231854793173,0.000366719190537521,3,-0.000204479103899342,0.00142727799887955,0.000824039336861541,0.00354555510216825,3,-7.48561154270747e-05,0.000682949987830111,0.000394301359316767,0.00169654182000821,"1"
"14",2017-09-21,2017-11-15,"R","WS07",3,0.00594787144697775,0.00315987973597046,0.00182435741616939,0.0078495764167199,4,0.00406911038828062,0.000408496007384442,0.000204248003692221,0.000650008304711882,3,0.00175255890775179,0.00289216995731725,0.00166979510339926,0.00718454845976311,3,0.00098315884353994,0.00162242011352104,0.000936704689280033,0.00403031498829986,"1"
