"","date_coll","date_dep","rhodo_acer","stream","N_coarse","mean_k_coarse","sd_k_coarse","se_k_coarse","ci_k_coarse","N_fine","mean_k_fine","sd_k_fine","se_k_fine","ci_k_fine","N_shred","mean_k_shred","sd_k_shred","se_k_shred","ci_k_shred","N_shred_new","mean_k_shred_new","sd_k_shred_new","se_k_shred_new","ci_k_shred_new","deployment"
"1",2018-11-02,2018-08-31,"A","CWCR",3,0.0376379110769556,0.0126033261126016,0.00727653372379518,0.0313083976898013,4,0.0155909841548761,0.00183530593352464,0.000917652966762321,0.00292038129360538,3,0.0226333826676693,0.0126291289888034,0.00729143102131613,0.0313724955876457,3,0.0132075849639472,0.00782138327104055,0.0045156777369705,0.019429393141645,1
"2",2018-11-02,2018-08-31,"A","HNCR",4,0.026417976738194,0.00862923104099387,0.00431461552049693,0.0137310322219252,4,0.0127259261422828,0.00164034572342098,0.000820172861710491,0.00261015609344452,4,0.0136920505959112,0.0080757565565217,0.00403787827826085,0.0128503308078366,4,0.00779511264568862,0.00468677908287499,0.00234338954143749,0.00745771138798823,1
"3",2018-11-02,2018-08-31,"A","LCCR",3,0.0235568504509905,0.000502168682392214,0.000289927223957745,0.00124745616159047,3,0.0112374784901992,0.00133551293951441,0.000771058755134874,0.00331759805757829,3,0.0123193719607913,0.000875180548252856,0.000505285725123311,0.00217406900450525,3,0.0069213937763413,0.000584570860572509,0.000337502143711949,0.00145215451993851,1
"4",2018-11-02,2018-08-31,"A","TOWR",4,0.0290894419085337,0.00462047119818354,0.00231023559909177,0.0073522007466645,4,0.0108229253824361,0.00100867927708565,0.000504339638542827,0.00160503381928874,4,0.0182665165260975,0.00395274383936331,0.00197637191968165,0.00628969751365735,4,0.010629863857492,0.00243252744917296,0.00121626372458648,0.00387069399656085,1
"5",2018-11-02,2018-08-31,"A","USHF",3,0.0261175382838399,0.00785853387682565,0.00453712664922108,0.0195216803624901,4,0.0122516602177775,0.00184675443618578,0.000923377218092892,0.00293859841610287,3,0.0142314845419554,0.00599548601779654,0.00346149546629747,0.0148936129170802,3,0.00806213974635456,0.00356266627649423,0.00205690633376674,0.00885015365182044,1
"6",2018-11-02,2018-08-31,"A","WS17",4,0.074937599870665,0.0236983204345438,0.0118491602172719,0.0377093161541717,4,0.0148426810969597,0.000492845032582205,0.000246422516291103,0.000784226426509334,4,0.0600949187737053,0.0235044030036585,0.0117522015018292,0.0374007502484461,4,0.0380764282244729,0.0157590118209189,0.00787950591045944,0.0250761044722028,1
"7",2018-11-02,2018-08-31,"A","WS34",4,0.031841863167446,0.0113873255300859,0.00569366276504293,0.0181197760301423,4,0.0129278814583321,0.00252176011980432,0.00126088005990216,0.00401268308804154,4,0.0189139817091139,0.0108742800787953,0.00543714003939764,0.0173034062296911,4,0.0110205564096306,0.00680103678186654,0.00340051839093327,0.0108219671892749,1
"8",2018-11-02,2018-08-31,"A","WS37",4,0.0411168265265561,0.0135530455029386,0.00677652275146931,0.0215659197930845,4,0.0178329173021101,0.00123496600002062,0.000617483000010308,0.0019651064919583,4,0.0232839092244459,0.0134583969598055,0.00672919847990276,0.0214153128398873,4,0.0134307560217192,0.00826685705372151,0.00413342852686075,0.0131544143434623,1
"9",2018-11-02,2018-08-31,"A","WS55",4,0.0282783200135415,0.00566348686784453,0.00283174343392226,0.0090118714287973,4,0.0109565807531371,0.000952228837092912,0.000476114418546456,0.00151520857219547,4,0.0173217392604045,0.00568280567761098,0.00284140283880549,0.00904261196617918,4,0.0100584835909832,0.00360102109273677,0.00180051054636838,0.00573002813591441,1
"10",2018-11-02,2018-08-31,"R","CWCR",0,NA,NA,NA,NA,1,0.00608563498594966,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1
"11",2018-11-02,2018-08-31,"R","HNCR",4,0.00771196959463596,0.000945551940300521,0.000472775970150261,0.00150458413943162,4,0.00482121735973706,0.000434630677896029,0.000217315338948015,0.000691594397516586,4,0.00289075223489891,0.00113186334128286,0.00056593167064143,0.00180104715427586,4,0.0015695633222765,0.000636084440911485,0.000318042220455742,0.0010121522894136,1
"12",2018-11-02,2018-08-31,"R","LCCR",4,0.00553513690327045,0.000642917771477993,0.000321458885738997,0.00102302564322069,4,0.00406826481211139,0.000675288491231195,0.000337644245615598,0.00107453468195966,4,0.00146687209115906,0.000454900691542625,0.000227450345771312,0.000723848512535415,4,0.000774892311303394,0.000254214490630827,0.000127107245315414,0.000404511983228828,1
"13",2018-11-02,2018-08-31,"R","TOWR",4,0.00512236197269982,0.000710358100693729,0.000355179050346864,0.00113033825649055,4,0.00313252359726628,0.000814176326904824,0.000407088163452412,0.00129553622170386,4,0.00198983837543353,0.000394213609664998,0.000197106804832499,0.000627281822785464,4,0.00108342276060129,0.000239780179829919,0.000119890089914959,0.000381543773689994,1
"14",2018-11-02,2018-08-31,"R","USHF",4,0.0133661507641969,0.00562693632797595,0.00281346816398798,0.00895371136351687,4,0.00527407193496604,0.000719417436234019,0.00035970871811701,0.00114475368094982,4,0.00809207882923087,0.00529318582725799,0.002646592913629,0.00842263983956864,4,0.00472788470378086,0.00334744000712919,0.00167372000356459,0.00532652404142357,1
"15",2018-11-02,2018-08-31,"R","WS09",4,0.00921575609336705,0.0013904652964373,0.00069523264821865,0.00221254057263605,4,0.00562037998853795,0.00119190816071097,0.000595954080355486,0.00189659186114607,4,0.00359537610482912,0.00121581356757518,0.000607906783787592,0.00193463069802173,4,0.00195948975072638,0.000715996611782771,0.000357998305891385,0.00113931038588187,1
